PLAYER,OverseasIndian,TYPE,Played For Country,Predicted Price,Selling Price,Base Price,Performance
Shiva Singh,Indian,Bowler,1.0,10515822.0,0.0,2000000.0,28.842569500000003
Dinesh Bana,Indian,Batter,0.0,2106331.0,0.0,2000000.0,23.0679205
Rajat Dey,Indian,Batter,0.0,2114451.5,0.0,2000000.0,23.0679205
Abhimanyu Easwaran,Indian,Batter,0.0,2116771.5,0.0,2000000.0,23.0679205
Rithik Easwaran,Indian,Batter,0.0,2108651.5,0.0,2000000.0,23.0679205
Chirag Gandhi,Indian,Batter,0.0,2122572.0,0.0,2000000.0,23.0679205
Nikhil Gangta,Indian,Batter,0.0,2120251.8,0.0,2000000.0,23.0679205
Sudip Gharami,Indian,Batter,0.0,2115872.5,0.0,2000000.0,23.0679205
Ansh Gosai,Indian,Batter,0.0,2106331.0,0.0,2000000.0,23.0679205
Azim Kazi,Indian,Batter,0.0,2060812.1,0.0,2000000.0,23.0679205
Amandeep Khare,Indian,Batter,0.0,2114451.5,0.0,2000000.0,23.0679205
Ankit Kumar,Indian,Batter,0.0,2114451.5,0.0,2000000.0,23.0679205
Bhupen Lalwani,Indian,Batter,0.0,2112131.8,0.0,2000000.0,23.0679205
Pukhraj Mann,Indian,Batter,0.0,2109811.2,0.0,2000000.0,23.0679205
Tanmay Mishra,Indian,Batter,1.0,2991941.0,0.0,2000000.0,26.0047345
Salman Nizar,Indian,Batter,0.0,2114451.5,0.0,2000000.0,23.0679205
Priyank Panchal,Indian,Batter,0.0,2122572.0,0.0,2000000.0,23.0679205
Akshat Raghuwanshi,Indian,Batter,0.0,2107491.5,0.0,2000000.0,23.0679205
Ekant Sen,Indian,Batter,0.0,2116771.5,0.0,2000000.0,23.0679205
Subhranshu Senapati,Indian,Batter,0.0,2114451.8,0.0,2000000.0,23.0679205
Naushad Shaikh,Indian,Batter,0.0,2121411.8,0.0,2000000.0,23.0679205
Dhruv Shorey,Indian,Batter,0.0,2289006.5,0.0,2000000.0,17.684191
Himmat Singh,Indian,Batter,1.0,5620289.5,0.0,2000000.0,29.9048795
Virat Singh,Indian,Batter,0.0,2322073.0,0.0,2000000.0,22.797341
Sumeet Verma,Indian,Batter,0.0,2122572.0,0.0,2000000.0,23.0679205
P.A. Abdul,Indian,All-Rounder,0.0,2109954.2,0.0,2000000.0,23.0679205
Murugan Abhishek,Indian,All-Rounder,0.0,2100412.8,0.0,2000000.0,23.0679205
Atharva Ankolekar,Indian,All-Rounder,0.0,2105053.2,0.0,2000000.0,23.0679205
Baba Aparajith,Indian,All-Rounder,0.0,2112013.2,0.0,2000000.0,23.0679205
Jass Inder Baidwan,Indian,All-Rounder,0.0,2109954.2,0.0,2000000.0,23.0679205
Rahul Buddhi,Indian,All-Rounder,0.0,2108533.0,0.0,2000000.0,23.0679205
Vaisakh Chandran,Indian,All-Rounder,0.0,2109693.2,0.0,2000000.0,23.0679205
Writtick Chatterjee,Indian,All-Rounder,0.0,2114333.0,0.0,2000000.0,23.0679205
Raj Chaudhary,Indian,All-Rounder,0.0,2103893.0,0.0,2000000.0,23.0679205
Ravi Chauhan,Indian,All-Rounder,0.0,2113173.0,0.0,2000000.0,23.0679205
Ashwin Das,Indian,All-Rounder,0.0,2110853.2,0.0,2000000.0,23.0679205
Aarya Desai,Indian,All-Rounder,0.0,2101572.5,0.0,2000000.0,23.0679205
Vineet Dhankhar,Indian,All-Rounder,0.0,2100412.8,0.0,2000000.0,23.0679205
Harsh Dubey,Indian,All-Rounder,0.0,2102733.0,0.0,2000000.0,23.0679205
Prerit Dutta,Indian,All-Rounder,0.0,2107373.0,0.0,2000000.0,23.0679205
Jake Fraser-Mcgurk,Overseas,All-Rounder,0.0,2114126.8,0.0,2000000.0,23.0679205
Shubhang Hegde,Indian,All-Rounder,0.0,2103893.0,0.0,2000000.0,23.0679205
Saransh Jain,Indian,All-Rounder,0.0,2113173.0,0.0,2000000.0,23.0679205
Duan Jansen,Overseas,All-Rounder,1.0,7989307.0,0.0,2000000.0,23.686449500000002
Mohammad Kaif,Indian,All-Rounder,0.0,2371265.0,0.0,2000000.0,27.865756
Aman Khan,Indian,All-Rounder,1.0,7974187.5,0.0,2000000.0,20.603624
Mohd Arslan Khan,Indian,All-Rounder,0.0,2835830.5,0.0,2000000.0,40.153836999999996
Musheer Khan,Indian,All-Rounder,0.0,2825128.8,0.0,2000000.0,40.153836999999996
